symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
FLOW,Flow,8,0,0,MAINTENANCE,0,0,MAINTENANCE,['FLOW'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
FLR,Flare,8,0,32,OK,0.01,0.01,OK,['FLR'],
FLUX,Flux,8,0,32,OK,2.5,2.5,OK,['ETH'],
FORTH,FORTH Governance Token,8,0,32,OK,0.28,0.28,OK,['ETH'],
FTT,FTX Token,8,0,32,OK,0.53,0.53,OK,['ETH'],
FUEL,Fuel Network,8,0,32,OK,72,72,OK,['ETH'],
FXS,Frax Share,8,0,32,OK,0.52,0.52,OK,['ETH'],
G,Gravity,8,0,32,OK,47,47,OK,['ETH'],
GALA,Gala,8,0,32,OK,43,43,OK,['ETH'],
GAS,Gas,8,0,5,OK,0,0.1,OK,['NEO'],
GHST,Aavegotchi,8,0,32,OK,1.8,1.8,OK,['ETH'],
GIGA,Gigachad,8,0,100,OK,3.9,3.9,OK,['SOL'],
GLM,Golem,8,0,32,OK,2.6,2.6,OK,['ETH'],
GLMR,Glimmer,8,0,1,OK,0.01,0.01,OK,['GLMR'],
GMT,STEPN,8,0,32,OK,16,16,OK,['ETH'],
GMX,GMX,8,0,100,OK,0.014,0.014,OK,['ARB'],
GNO,Gnosis,8,0,32,OK,0.0057,0.0057,OK,['ETH'],
GNS,Gains Network,8,0,100,OK,0.15,0.15,OK,['ARB'],
GOAT,Goatseus Maximus,6,0,100,OK,0.99,0.99,OK,['SOL'],
GRASS,Grass,8,0,100,OK,0.031,0.031,OK,['SOL'],
GRT,The Graph,8,0,32,OK,7.3,7.3,OK,['ETH'],
GTC,Gitcoin,8,0,32,OK,2,2,OK,['ETH'],
HBAR,Hedera,8,0,0,OK,0.8,0.8,OK,['HBAR'],
HEI,Heima,8,0,32,OK,1.7,1.7,OK,['ETH'],
HFT,Hashflow,8,0,32,OK,9.3,9.3,OK,['ETH'],
HIFI,Hifi Finance,8,0,32,OK,2.2,2.2,OK,['ETH'],
HIGH,Highstreet,8,0,32,OK,1.1,1.1,OK,['ETH'],
HMSTR,Hamster Kombat,8,0,100,OK,5,5,OK,['TON'],
HNT,Helium,8,0,100,OK,0.022,0.022,OK,['SOL'],
HONEY,Hivemapper,8,0,100,OK,1.7,1.7,OK,['SOL'],
HOOK,Hooked Protocol,8,0,35,OK,0.59,0.59,OK,['BSC'],
HOT,Holo,8,0,32,OK,630,630,OK,['ETH'],
HYPE,Hyperliquid,8,0,1,MAINTENANCE,1,1,MAINTENANCE,['HYPE'],
ICP,Internet Computer,8,0,1,OK,0.0001,0.0001,OK,['ICP'],
ICX,ICON,8,0,3,OK,0.02,0.02,OK,['ICX'],
ID,SPACE ID,8,0,32,OK,3.3,3.3,OK,['ETH'],
IDEX,IDEX,8,0,32,OK,26,26,OK,['ETH'],
ILV,Illuvium,8,0,32,OK,0.049,0.049,OK,['ETH'],
IMX,Immutable X,8,0,32,OK,1.3,1.3,OK,['ETH'],
INJ,Injective Protocol,8,0,32,OK,0.067,0.067,OK,['ETH'],
IO,io.net,8,0,100,OK,0.069,0.069,OK,['SOL'],
IOST,IOST,8,0,100,OK,1,1,OK,['IOST'],
IOTX,IoTeX,8,0,32,MAINTENANCE,210,130,MAINTENANCE,['ETH'],
IP,Story,8,0,64,MAINTENANCE,0.0004,0.0004,MAINTENANCE,['IP'],
IQ,IQ,8,0,32,OK,170,170,OK,['ETH'],
JASMY,JasmyCoin,8,0,32,OK,46,46,OK,['ETH'],
JST,JUST,8,0,0,MAINTENANCE,0,0,MAINTENANCE,['TRX'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
JTO,Jito,4,0,100,OK,0.027,0.027,OK,['SOL'],
JUP,Jupiter,3,0,100,OK,0.12,0.12,OK,['SOL'],
KAIA,Kaia,8,0,64,MAINTENANCE,0.1,0.1,MAINTENANCE,['KAIA'], This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
